Branch_ID,City,Region,Firm_Revenue,Expenses,Profit_Margin
1000,Solapur,East,422443.0,346471,56.31
1001,Mumbai,North,211155.0,216256,79.53
1002,Nashik,West,985006.0,71777,55.31
1003,Solapur,North,55113.0,253655,2.57
1004,Nagpur,West,282701.0,148194,-14.1
1005,Nagpur,East,657164.0,90729,11.57
1006,Kolhapur,North,96520.0,273124,19.48
1007,Kolhapur,West,427163.0,111053,-9.09
1008,Kolhapur,North,,59920,-5.94
1009,Nagpur,South,690932.0,44992,56.47
1010,Solapur,North,936640.0,226126,-18.9
1011,Nashik,East,257505.0,483161,65.12
1012,Nagpur,West,969777.0,347637,-11.4
1013,Pune,West,214437.0,52323,10.97
1014,Nagpur,North,370373.0,194199,-8.67
1015,Nagpur,East,494847.0,394802,73.24
1016,Nashik,North,366811.0,326818,9.12
1017,Nagpur,East,658552.0,280743,96.78
1018,Nagpur,East,938738.0,218097,40.11
1019,Nashik,West,112412.0,219553,-47.5
1020,Nagpur,South,928809.0,456732,72.27
1021,Solapur,North,718065.0,104070,53.39
1022,Pune,West,948252.0,264169,-11.58
1023,Solapur,North,141055.0,264179,-9.72
1024,Nagpur,South,453778.0,239635,23.83
1025,Pune,West,410506.0,347517,49.96
1026,Kolhapur,East,173491.0,197880,84.95
1027,Mumbai,East,405516.0,184621,-25.05
1028,Pune,West,301173.0,122217,-24.9
1029,Nashik,West,637247.0,235181,54.57
1030,Pune,East,950410.0,483008,-2.32
1031,Solapur,East,646023.0,117992,-15.94
1032,Nashik,North,722489.0,127639,53.12
1033,Solapur,West,936776.0,90418,-40.93
1034,Solapur,West,,131077,29.7
1035,Mumbai,West,590919.0,180788,46.09
1036,Nagpur,West,729537.0,225109,7.71
1037,Mumbai,West,260539.0,433554,-31.14
1038,Nagpur,East,572977.0,405006,1.39
1039,Kolhapur,North,286507.0,44379,14.69
1040,Solapur,East,560824.0,293054,-25.83
1041,Pune,South,382425.0,407970,23.26
1042,Nagpur,South,993460.0,488468,0.82
1043,Mumbai,East,601854.0,467555,85.0
1044,Nashik,South,878898.0,192703,-40.35
1045,Mumbai,East,743144.0,255822,50.49
1046,Solapur,West,977665.0,254418,58.29
1047,Solapur,East,655189.0,116716,41.34
1048,Mumbai,East,684533.0,334321,28.27
1049,Mumbai,North,100724.0,169264,-32.71
1050,Nashik,South,678204.0,179639,41.23
1051,Kolhapur,East,623150.0,83058,34.99
1052,Nagpur,North,992645.0,68947,86.92
1053,Solapur,West,829228.0,209502,80.83
1054,Nagpur,West,967410.0,419776,-46.92
1055,Solapur,North,999028.0,235173,97.69
1056,Solapur,West,104114.0,239317,34.82
1057,Mumbai,South,348753.0,320467,87.4
1058,Kolhapur,North,,179713,-27.61
1059,Mumbai,South,920571.0,191047,54.46
1060,Kolhapur,East,305241.0,220112,18.76
1061,Pune,South,668871.0,153491,-29.88
1062,Mumbai,West,299697.0,273050,-46.59
1063,Pune,South,802708.0,57795,-17.56
1064,Kolhapur,South,904204.0,219407,-47.49
1065,Solapur,East,738465.0,454834,39.67
1066,Nashik,East,123311.0,269341,-4.26
1067,Kolhapur,West,447272.0,419907,93.05
1068,Nagpur,North,94673.0,124746,44.89
1069,Nagpur,West,,279148,64.56
1070,Nashik,South,723055.0,20664,15.06
1071,Nashik,West,288740.0,497515,-9.92
1072,Kolhapur,North,831265.0,382396,65.1
1073,Mumbai,East,459580.0,198394,20.15
1074,Solapur,East,997286.0,218745,99.93
1075,Kolhapur,South,105973.0,493415,38.88
1076,Kolhapur,West,204710.0,300215,76.77
1077,Nagpur,West,985286.0,152371,-6.82
1078,Nashik,East,616031.0,473422,14.03
1079,Solapur,East,631559.0,213405,-13.91
1080,Kolhapur,West,714846.0,106483,66.31
1081,Nagpur,West,810727.0,234848,63.59
1082,Solapur,East,527491.0,129655,38.9
1083,Pune,East,590910.0,395017,59.66
1084,Nagpur,West,604344.0,406488,4.09
1085,Pune,North,301941.0,71479,81.71
1086,Kolhapur,West,744479.0,53750,88.35
1087,Solapur,West,640762.0,202204,49.6
1088,Mumbai,West,246436.0,57113,5.95
1089,Nashik,East,658793.0,482561,76.27
1090,Pune,North,629001.0,345832,97.09
1091,Mumbai,South,307324.0,81535,36.85
1092,Nagpur,East,,493705,48.98
1093,Nashik,North,,37666,77.6
1094,Solapur,South,837097.0,140421,50.9
1095,Kolhapur,South,929599.0,259456,-20.48
1096,Nashik,North,285747.0,164076,13.47
1097,Mumbai,East,68882.0,111621,41.81
1098,Mumbai,West,570985.0,423464,19.57
1099,Nagpur,North,714838.0,177696,51.99
1100,Solapur,West,860774.0,342060,-7.77
1101,Nagpur,East,866744.0,147716,-26.19
1102,Kolhapur,East,449250.0,305716,-45.74
1103,Solapur,East,941020.0,22378,-44.16
1104,Kolhapur,South,658214.0,119660,3.51
1105,Kolhapur,East,,336150,-46.74
1106,Nagpur,South,645333.0,497857,-9.25
1107,Nashik,South,553367.0,463072,27.01
1108,Solapur,West,77365.0,358228,61.62
1109,Solapur,South,227115.0,86628,38.34
1110,Solapur,South,993451.0,431239,30.19
1111,Nagpur,East,702367.0,190514,-13.68
1112,Kolhapur,South,474820.0,431359,-47.64
1113,Nagpur,East,963430.0,275162,-30.54
1114,Kolhapur,East,842893.0,204196,97.27
1115,Nagpur,South,785942.0,164003,89.17
1116,Mumbai,West,798102.0,315359,-3.33
1117,Nashik,South,286476.0,326419,-1.85
1118,Nagpur,West,204248.0,208385,83.7
1119,Nashik,West,772777.0,279646,-38.22
1120,Pune,West,715070.0,105057,-24.29
1121,Nagpur,North,163874.0,355418,-32.31
1122,Solapur,North,443946.0,415587,80.64
1123,Solapur,South,398968.0,482742,-49.01
1124,Pune,East,657564.0,131822,-47.83
1125,Kolhapur,South,882724.0,350146,72.08
1126,Nagpur,East,205625.0,485899,45.54
1127,Solapur,North,501483.0,122453,34.48
1128,Solapur,East,921550.0,214020,88.43
1129,Kolhapur,West,788503.0,443105,22.51
1130,Pune,West,595312.0,349564,20.03
1131,Solapur,South,,242669,13.12
1132,Kolhapur,West,83336.0,335733,47.84
1133,Nashik,West,969558.0,77022,-1.52
1134,Kolhapur,South,657173.0,370102,50.26
1135,Nashik,South,175873.0,20946,55.55
1136,Mumbai,East,239263.0,53815,-18.28
1137,Mumbai,South,263055.0,210483,39.24
1138,Kolhapur,South,635281.0,333629,59.02
1139,Nagpur,South,245288.0,162674,94.18
