Customer_ID,Age,Customer_Type,City,Region,Bank_Name,Branch_ID
200000,56.0,Employee,Pune,North,HDFC Bank,1350
200001,69.0,,Kolhapur,East,HDFC Bank,1648
200002,46.0,Business,Pune,West,HDFC Bank,1798
200003,32.0,Individual,Pune,West,HDFC Bank,1900
200004,,Business,Kolhapur,East,HDFC Bank,1227
200005,25.0,Business,Pune,North,HDFC Bank,1015
200006,78.0,Business,Kolhapur,North,HDFC Bank,1809
200007,38.0,Business,Pune,North,HDFC Bank,1424
200008,56.0,Business,Solapur,West,HDFC Bank,1463
200009,75.0,Individual,Mumbai,South,HDFC Bank,1723
200010,36.0,Individual,Kolhapur,West,HDFC Bank,1245
200011,40.0,Business,Pune,East,HDFC Bank,1797
200012,28.0,Individual,Solapur,North,HDFC Bank,1793
200013,28.0,Individual,Mumbai,South,HDFC Bank,1176
200014,41.0,Employee,,North,HDFC Bank,1542
200015,70.0,Business,Mumbai,West,HDFC Bank,1508
200016,53.0,Individual,Kolhapur,South,HDFC Bank,1561
200017,57.0,Individual,Mumbai,South,HDFC Bank,1654
200018,41.0,Business,Nagpur,West,HDFC Bank,1563
200019,20.0,Employee,,North,HDFC Bank,1232
200020,39.0,Business,Nagpur,North,HDFC Bank,1677
200021,70.0,Employee,Kolhapur,North,HDFC Bank,1037
200022,19.0,Business,Kolhapur,West,HDFC Bank,1490
200023,41.0,Business,Mumbai,East,HDFC Bank,1443
200024,61.0,Business,Solapur,East,HDFC Bank,1019
200025,47.0,Business,Pune,North,HDFC Bank,1610
200026,55.0,Employee,Nashik,South,HDFC Bank,1726
200027,19.0,Employee,Pune,East,HDFC Bank,1555
200028,77.0,,Solapur,North,HDFC Bank,1110
200029,38.0,Business,Kolhapur,East,HDFC Bank,1486
200030,50.0,Employee,,North,HDFC Bank,1088
200031,29.0,Employee,Nagpur,East,HDFC Bank,1318
200032,75.0,Employee,Kolhapur,East,HDFC Bank,1117
200033,39.0,Business,Kolhapur,South,HDFC Bank,1433
200034,78.0,Individual,Mumbai,South,HDFC Bank,1917
200035,61.0,Employee,Solapur,East,HDFC Bank,1238
200036,42.0,Business,Mumbai,North,HDFC Bank,1071
200037,66.0,Employee,Mumbai,South,HDFC Bank,1821
200038,44.0,Employee,Pune,West,HDFC Bank,1904
200039,76.0,Individual,,South,HDFC Bank,1398
200040,59.0,Employee,Solapur,East,HDFC Bank,1815
200041,45.0,Employee,Mumbai,East,HDFC Bank,1403
200042,77.0,Business,Nagpur,West,HDFC Bank,1674
200043,33.0,Business,Nashik,South,HDFC Bank,1250
200044,32.0,Individual,Solapur,East,HDFC Bank,1868
200045,79.0,Business,Pune,West,HDFC Bank,1194
200046,79.0,Business,Solapur,West,HDFC Bank,1571
200047,64.0,Individual,Kolhapur,North,HDFC Bank,1609
200048,79.0,Employee,Pune,South,HDFC Bank,1929
200049,68.0,Individual,Nashik,South,HDFC Bank,1867
200050,61.0,Business,Nagpur,South,HDFC Bank,1866
200051,72.0,Individual,Mumbai,East,HDFC Bank,1584
200052,69.0,Employee,Solapur,West,HDFC Bank,1221
200053,74.0,Individual,Pune,North,HDFC Bank,1630
200054,20.0,Business,Nashik,South,HDFC Bank,1181
200055,54.0,Business,Mumbai,North,HDFC Bank,1895
200056,68.0,Individual,Nashik,North,HDFC Bank,1729
200057,,Employee,Nagpur,West,HDFC Bank,1255
200058,38.0,Individual,Mumbai,South,HDFC Bank,1907
200059,26.0,Employee,Mumbai,North,HDFC Bank,1087
200060,,Employee,Mumbai,South,HDFC Bank,1872
200061,35.0,Individual,Pune,South,HDFC Bank,1786
