Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date
300000,209689,Business,69339,4794.0,42580,Fixed Deposit,2024-12-08
300001,206124,Business,12825,3500.0,46605,Fixed Deposit,2022-09-09
300002,207501,Current,67753,2401.0,17027,Fixed Deposit,2022-04-28
300003,208675,Savings,67061,2952.0,3054,Fixed Deposit,2023-05-22
300004,204923,Business,8566,1025.0,44937,Fixed Deposit,2023-04-05
300005,208422,Business,99584,3685.0,31763,Fixed Deposit,2023-03-02
300006,200086,Savings,88497,2343.0,26793,Recurring Deposit,2022-10-23
300007,204484,Savings,20803,1985.0,3709,Fixed Deposit,2022-08-27
300008,201643,Business,60911,5224.002812996517,45985,Recurring Deposit,2025-02-04
300009,208910,Business,35489,3714.0,38111,Fixed Deposit,2024-07-15
300010,204832,Savings,40289,3689.0,4968,Recurring Deposit,2022-08-03
300011,202229,Savings,19167,3885.0,2633,Mutual Fund,2024-09-23
300012,202469,Current,96671,997.0,9228,Recurring Deposit,2024-01-05
300013,206596,Business,91612,3675.0,31008,Mutual Fund,2022-05-09
300014,202248,Savings,79733,1516.0,24178,Mutual Fund,2022-05-06
300015,200582,Savings,17467,4788.0,22052,Recurring Deposit,2022-08-13
300016,204119,Current,55313,1971.0,43970,Mutual Fund,2023-02-23
300017,200872,Current,12532,2483.0,22133,Mutual Fund,2023-03-17
300018,202383,Savings,49658,3742.0,7727,Mutual Fund,2024-05-14
300019,208164,Business,9225,4927.0,10808,Fixed Deposit,2024-10-11
300020,203721,Business,45900,6627.420212670303,44084,Fixed Deposit,2022-05-01
300021,209684,Business,70335,361.0,47823,Recurring Deposit,2024-08-08
300022,207316,Current,20828,1570.0,18262,Recurring Deposit,2023-01-23
300023,206897,Savings,54204,1310.0,4334,Fixed Deposit,2024-12-24
300024,201094,Savings,65447,4938.0,2448,Recurring Deposit,2025-03-14
300025,204007,Current,48288,3773.0,33365,Recurring Deposit,2024-07-14
300026,204487,Business,21439,1041.0,29394,Fixed Deposit,2024-01-01
300027,202295,Savings,49736,2393.0,34507,Fixed Deposit,2023-02-26
300028,209320,Business,71788,4852.0,15429,Fixed Deposit,2024-02-16
300029,205171,Savings,4032,4578.0,30881,Fixed Deposit,2024-09-21
300030,202305,Current,38930,4105.0,8971,Mutual Fund,2023-05-27
300031,205604,Current,70735,1857.0,28139,Fixed Deposit,2022-03-31
300032,208597,Business,14328,2724.0,46384,Fixed Deposit,2022-11-24
300033,201654,Current,81984,3532.0,1352,Fixed Deposit,2025-03-09
300034,204981,Savings,98769,1413.4289702751234,23073,Fixed Deposit,2024-01-06
300035,209779,Current,53909,3388.0,38051,Fixed Deposit,2023-08-31
300036,206510,Business,56456,4819.0,30383,Mutual Fund,2023-05-26
300037,203773,Current,91948,1105.0,5686,Fixed Deposit,2022-11-17
300038,204445,Savings,76305,2909.0,17613,Mutual Fund,2023-02-18
300039,206769,Current,24438,1210.0,48004,Mutual Fund,2023-08-25
300040,207873,Savings,23464,389.0,1320,Mutual Fund,2022-08-26
300041,202102,Business,86047,1011.0,19917,Recurring Deposit,2022-08-12
300042,203852,Savings,28306,1480.0,46133,Mutual Fund,2023-11-01
300043,208987,Current,29241,1747.0,47535,Fixed Deposit,2022-08-18
300044,202904,Current,6313,4136.0,40430,Fixed Deposit,2023-09-29
300045,201453,Business,41400,3924.0,29495,Recurring Deposit,2023-09-06
300046,209070,Current,74796,4109.0,25768,Fixed Deposit,2024-10-13
300047,208578,Business,60021,1391.0,16081,Mutual Fund,2023-05-05
300048,202434,Business,11536,3112.0,7987,Mutual Fund,2022-05-27
300049,209372,Savings,20642,1722.0,1808,Mutual Fund,2024-03-03
300050,204519,Current,27673,4779.0,12849,Mutual Fund,2024-07-01
300051,200786,Savings,8325,4174.0,19217,Recurring Deposit,2022-09-30
300052,206803,Business,2149,1862.0,5514,Mutual Fund,2023-10-30
300053,203219,Business,29377,4325.54931329541,47497,Fixed Deposit,2022-07-21
300054,207258,Business,57301,2227.0,39792,Fixed Deposit,2024-07-25
300055,206699,Savings,25888,4279.0,18200,Mutual Fund,2023-06-19
300056,201773,Savings,40811,1537.0,23933,Recurring Deposit,2024-11-21
300057,202042,Business,79085,3989.0,46476,Recurring Deposit,2024-11-05
300058,209816,Current,18004,2650.0,36131,Mutual Fund,2023-10-03
300059,207169,Current,46996,2615.5528736962256,13299,Mutual Fund,2024-09-02
300060,207608,Current,17977,456.0,36194,Mutual Fund,2023-01-13
300061,209440,Business,28472,260.0,32011,Fixed Deposit,2025-03-19
300062,204242,Business,54691,3166.0,12049,Fixed Deposit,2022-07-07
300063,201625,Current,81352,2022.0,46919,Recurring Deposit,2022-05-31
300064,201471,Savings,34379,1620.0,34662,Fixed Deposit,2025-01-11
300065,205549,Current,31314,3415.0,16440,Recurring Deposit,2023-03-10
300066,201346,Savings,14144,663.0,3974,Recurring Deposit,2023-06-13
300067,209306,Current,58970,3360.0,12027,Recurring Deposit,2022-07-22
300068,200013,Business,60291,4091.0,30557,Fixed Deposit,2023-03-17
300069,209363,Current,15668,109.0,40973,Fixed Deposit,2022-08-24
300070,201826,Savings,11159,781.0,3247,Recurring Deposit,2023-11-01
300071,208600,Savings,43386,771.1865553972792,16631,Recurring Deposit,2023-05-26
300072,205507,Current,93190,776.0,1571,Mutual Fund,2024-02-23
300073,204152,Business,41654,292.0,6727,Recurring Deposit,2024-12-02
300074,202561,Business,94115,3227.0,16048,Recurring Deposit,2023-10-08
300075,201902,Savings,74259,587.0,34913,Mutual Fund,2022-11-28
300076,208596,Business,77182,385.0,37067,Recurring Deposit,2023-10-17
300077,207916,Current,14799,1367.0,46381,Fixed Deposit,2023-09-23
300078,205720,Savings,13928,934.0,24135,Fixed Deposit,2023-02-09
300079,200858,Savings,43133,901.856193185989,4345,Recurring Deposit,2025-01-25
300080,200208,Current,84847,1222.0,22763,Mutual Fund,2023-05-09
300081,202190,Current,43308,3681.0,23699,Mutual Fund,2025-03-15
300082,208109,Current,48383,3311.0,11587,Fixed Deposit,2025-02-14
300083,207794,Business,86627,2256.0,13962,Fixed Deposit,2024-12-21
300084,201822,Business,4360,2390.0,8777,Mutual Fund,2022-07-09
300085,207741,Business,46631,1164.0,29535,Recurring Deposit,2024-10-22
300086,200545,Current,74422,3891.0,15881,Recurring Deposit,2024-12-01
300087,208995,Business,20259,2198.0,3160,Recurring Deposit,2022-12-11
300088,201127,Business,2577,1476.0,5260,Recurring Deposit,2024-06-27
300089,206476,Current,38065,2227.0,10696,Mutual Fund,2023-04-05
300090,204092,Current,40483,446.0,37239,Mutual Fund,2022-11-29
300091,200246,Current,37201,1858.0,41677,Mutual Fund,2024-03-08
300092,208656,Savings,33653,1438.0,11212,Recurring Deposit,2023-10-31
300093,206444,Current,98586,4795.0,29859,Recurring Deposit,2023-05-14
300094,200619,Current,98266,2796.0,32851,Fixed Deposit,2024-12-09
300095,201958,Business,56360,4167.0,47288,Mutual Fund,2025-02-22
300096,206681,Savings,99202,553.0,47078,Mutual Fund,2024-08-02
300097,209421,Business,83453,1409.0,29438,Recurring Deposit,2023-02-25
300098,208548,Savings,80321,189.0,37746,Recurring Deposit,2025-02-16
